date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:22	723/723	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/profile/john.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/profile/john.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:23	40888/40888	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Mar%202018%2004:07:40%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/style_dark_dark.css	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/style_dark_dark.css	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:26	1664/1664	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2004:07:40%20GMT	http://trimatrixlab.com/store/flatrica/images/poster/poster.jpg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/poster/poster.jpg	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:27	647/647	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/icons/book.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/icons/book.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:28	668/668	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:40%20GMT	http://trimatrixlab.com/store/flatrica/images/icons/mixer.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/icons/mixer.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:28	581/581	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:42%20GMT	http://trimatrixlab.com/store/flatrica/images/icons/layers.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/icons/layers.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:30	91079/91079	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/profile/profile.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/profile/profile.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:31	2554/2554	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:42%20GMT	http://trimatrixlab.com/store/flatrica/images/icons/safe.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/icons/safe.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:42	84490/84490	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/timeline/demo-gra.jpg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/timeline/demo-gra.jpg	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:46	92143/92143	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/portfolios/big-1.jpg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/portfolios/big-1.jpg	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:47	22625/22625	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/portfolios/portfolio-1.jpg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/portfolios/portfolio-1.jpg	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:50	15952/15952	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/portfolios/portfolio-2.jpg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/portfolios/portfolio-2.jpg	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:54:57	58337/58337	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/portfolios/big-2.jpg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/portfolios/big-2.jpg	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:01	15357/15357	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/portfolios/portfolio-4.jpg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/portfolios/portfolio-4.jpg	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:01	7824/7824	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Mar%202018%2004:07:38%20GMT	http://trimatrixlab.com/store/flatrica/single-portfolio-dark.html	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/single-portfolio-dark.html	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:03	1307/1307	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:40%20GMT	http://trimatrixlab.com/store/flatrica/images/icons/heart.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/icons/heart.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:04	2473/2473	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:42%20GMT	http://trimatrixlab.com/store/flatrica/images/icons/handshake.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/icons/handshake.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:07	109017/109017	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/portfolios/portfolio-3.jpg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/portfolios/portfolio-3.jpg	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:07	14042/14042	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/clients/client-1.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/clients/client-1.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:10	17859/17859	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/clients/client-2.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/clients/client-2.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:11	16301/16301	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/clients/client-3.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/clients/client-3.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:11	551/551	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/logos/logo1.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/logos/logo1.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:12	669/669	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/logos/logo2.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/logos/logo2.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:12	812/812	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/logos/logo3.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/logos/logo3.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:13	640/640	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/logos/logo4.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/logos/logo4.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:14	890/890	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/logos/logo5.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/logos/logo5.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:14	587/587	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/logos/logo6.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/logos/logo6.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:15	757/757	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/logos/logo7.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/logos/logo7.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:16	922/922	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/logos/logo8.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/logos/logo8.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:17	737/737	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/logos/logo9.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/logos/logo9.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:19	839/839	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:42%20GMT	http://trimatrixlab.com/store/flatrica/images/icons/lightning.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/icons/lightning.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:19	441/441	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:40%20GMT	http://trimatrixlab.com/store/flatrica/images/icons/post-it.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/icons/post-it.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:20	12110/12110	---M-Z	200	added ('OK')	text/html	date:Mon,%2005%20Mar%202018%2004:07:38%20GMT	http://trimatrixlab.com/store/flatrica/single-blog-dark.html	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/single-blog-dark.html	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:41	121294/121294	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/blog/blog-1.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/blog/blog-1.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:41	132133/132133	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/blog/blog-2.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/blog/blog-2.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:42	1179/1179	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:42%20GMT	http://trimatrixlab.com/store/flatrica/images/icons/envelope.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/icons/envelope.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:55:57	84319/84319	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Mar%202018%2004:07:46%20GMT	http://trimatrixlab.com/store/flatrica/javascript/vendors/jquery-2.1.3.min.js	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/javascript/vendors/jquery-2.1.3.min.js	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:56:04	36868/36868	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Mar%202018%2004:07:46%20GMT	http://trimatrixlab.com/store/flatrica/javascript/vendors/bootstrap.min.js	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/javascript/vendors/bootstrap.min.js	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:56:11	188017/188017	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/blog/blog-3.png	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/blog/blog-3.png	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:56:13	10709/10709	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Mar%202018%2004:07:46%20GMT	http://trimatrixlab.com/store/flatrica/javascript/vendors/markerwithlabel.min.js	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/javascript/vendors/markerwithlabel.min.js	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:56:15	2352/2352	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Mar%202018%2004:07:46%20GMT	http://trimatrixlab.com/store/flatrica/javascript/vendors/retina.min.js	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/javascript/vendors/retina.min.js	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:56:17	8663/8663	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Mar%202018%2004:07:46%20GMT	http://trimatrixlab.com/store/flatrica/javascript/vendors/scrollreveal.min.js	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/javascript/vendors/scrollreveal.min.js	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:56:24	125545/125545	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Mar%202018%2004:07:46%20GMT	http://trimatrixlab.com/store/flatrica/javascript/vendors/materialize.min.js	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/javascript/vendors/materialize.min.js	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:56:29	68716/68716	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Mar%202018%2004:07:46%20GMT	http://trimatrixlab.com/store/flatrica/javascript/vendors/swiper.jquery.min.js	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/javascript/vendors/swiper.jquery.min.js	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:56:29	20216/20216	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Mar%202018%2004:07:48%20GMT	http://trimatrixlab.com/store/flatrica/javascript/vendors/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/javascript/vendors/jquery.magnific-popup.min.js	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:56:31	8768/8768	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Mar%202018%2004:07:46%20GMT	http://trimatrixlab.com/store/flatrica/javascript/custom-dark.js	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/javascript/custom-dark.js	(from http://trimatrixlab.com/store/flatrica/index-dark.html)
19:56:42	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2018%20Nov%202019%2018:56:31%20GMT	http://trimatrixlab.com/store/flatrica/fonts/fontawesome-webfont.eot?v=4.6.1	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/fonts/fontawesome-webfont914c.eot	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/font-awesome.min.css)
19:56:43	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2018%20Nov%202019%2018:56:33%20GMT	http://trimatrixlab.com/store/flatrica/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/fonts/fontawesome-webfontd41d.eot	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/font-awesome.min.css)
19:56:53	66624/66624	---M--	200	added ('OK')	application/font-woff2	date:Mon,%2018%20Nov%202019%2018:56:43%20GMT	http://trimatrixlab.com/store/flatrica/fonts/fontawesome-webfont.woff2?v=4.6.1	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/fonts/fontawesome-webfont914c.woff2	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/font-awesome.min.css)
19:56:57	83588/83588	---M--	200	added ('OK')	application/font-woff	date:Mon,%2018%20Nov%202019%2018:56:45%20GMT	http://trimatrixlab.com/store/flatrica/fonts/fontawesome-webfont.woff?v=4.6.1	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/fonts/fontawesome-webfont914c.woff	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/font-awesome.min.css)
19:57:04	365616/365616	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Nov%202019%2018:56:58%20GMT	http://trimatrixlab.com/store/flatrica/fonts/fontawesome-webfont.svg?v=4.6.1	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/fonts/fontawesome-webfont914c.svg	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/font-awesome.min.css)
19:57:06	11827/11827	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Nov%202019%2018:57:05%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/fonts/material-design-icons/Material-Design-Icons.eot?	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/fonts/material-design-icons/Material-Design-Icons.3fd41d.delayed	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/materialize.css)
19:57:10	11840/11840	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Nov%202019%2018:57:08%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/fonts/material-design-icons/Material-Design-Icons.woff2	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/fonts/material-design-icons/Material-Design-Icons.40.delayed	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/materialize.css)
19:57:12	11840/11840	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Nov%202019%2018:57:12%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/fonts/material-design-icons/Material-Design-Icons.woff	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/fonts/material-design-icons/Material-Design-Icons.41.delayed	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/materialize.css)
19:57:14	11840/11840	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Nov%202019%2018:57:13%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/fonts/material-design-icons/Material-Design-Icons.ttf	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/fonts/material-design-icons/Material-Design-Icons.42.delayed	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/materialize.css)
19:57:15	11840/11840	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Nov%202019%2018:57:15%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/fonts/material-design-icons/Material-Design-Icons.svg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/fonts/material-design-icons/Material-Design-Icons.43.delayed	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/materialize.css)
19:57:16	11840/11840	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Nov%202019%2018:57:16%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/fonts/glyphicons-halflings-regular.44.delayed	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/bootstrap.min.css)
19:57:18	11857/11857	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Nov%202019%2018:57:18%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/fonts/glyphicons-halflings-regular.45d41d.delayed	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/bootstrap.min.css)
19:57:19	142072/142072	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2018%20Nov%202019%2018:56:54%20GMT	http://trimatrixlab.com/store/flatrica/fonts/fontawesome-webfont.ttf?v=4.6.1	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/fonts/fontawesome-webfont914c.ttf	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/font-awesome.min.css)
19:57:22	18028/18028	---M--	200	added ('OK')	application/font-woff2	date:Mon,%2018%20Nov%202019%2018:57:19%20GMT	http://trimatrixlab.com/store/flatrica/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/fonts/glyphicons-halflings-regular.woff2	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/bootstrap.min.css)
19:57:23	23424/23424	---M--	200	added ('OK')	application/font-woff	date:Mon,%2018%20Nov%202019%2018:57:20%20GMT	http://trimatrixlab.com/store/flatrica/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/fonts/glyphicons-halflings-regular.woff	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/bootstrap.min.css)
19:57:25	11840/11840	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Nov%202019%2018:57:25%20GMT	http://trimatrixlab.com/store/flatrica/stylesheets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/stylesheets/fonts/glyphicons-halflings-regular.49.delayed	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/bootstrap.min.css)
19:57:28	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	date:Mon,%2018%20Nov%202019%2018:57:23%20GMT	http://trimatrixlab.com/store/flatrica/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/fonts/glyphicons-halflings-regular.ttf	(from http://trimatrixlab.com/store/flatrica/stylesheets/vendors/bootstrap.min.css)
19:57:38	79179/79179	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/backgrounds/background.jpg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/backgrounds/background.jpg	(from http://trimatrixlab.com/store/flatrica/stylesheets/style_dark_dark.css)
19:58:23	96849/96849	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/portfolio-single/single-1.jpg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/portfolio-single/single-1.jpg	(from http://trimatrixlab.com/store/flatrica/single-portfolio-dark.html)
19:58:24	81205/81205	---M--	200	added ('OK')	image/jpeg	date:Mon,%2005%20Mar%202018%2004:07:44%20GMT	http://trimatrixlab.com/store/flatrica/images/portfolio-single/single-2.jpg	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/images/portfolio-single/single-2.jpg	(from http://trimatrixlab.com/store/flatrica/single-portfolio-dark.html)
19:58:25	767/767	---M--	200	added ('OK')	application/javascript	date:Mon,%2005%20Mar%202018%2004:07:46%20GMT	http://trimatrixlab.com/store/flatrica/javascript/single-page.js	C:/My%20Web%20Sites/cv2/trimatrixlab.com/store/flatrica/javascript/single-page.js	(from http://trimatrixlab.com/store/flatrica/single-portfolio-dark.html)
